playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
penawi01,2003,1,CIN,NL,80,165,20,36,6,1,5,16,3,2,12,53,2,3,1,0,2
peraljh01,2003,1,CLE,AL,77,242,24,55,10,1,4,21,1,3,20,65,0,4,2,2,5
perezan01,2003,1,TBA,AL,48,125,19,31,6,1,2,12,4,1,18,34,0,1,2,1,1
perezol01,2003,1,SDN,NL,19,33,0,7,0,0,0,4,0,0,1,10,0,0,3,1,1
perezol01,2003,2,PIT,NL,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
phillbr01,2003,1,CLE,AL,112,370,36,77,18,1,6,33,4,5,14,77,0,3,5,1,12
priorma01,2003,1,CHN,NL,32,72,6,18,4,0,1,6,0,0,2,27,0,0,7,0,1
pujolal01,2003,1,SLN,NL,157,591,137,212,51,1,43,124,5,1,79,65,12,10,0,5,13
reyesjo01,2003,1,NYN,NL,69,274,47,84,12,4,5,32,13,3,13,36,0,0,2,3,1
rodrifr03,2003,1,ANA,AL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
roneyma01,2003,1,DET,AL,45,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
rossco01,2003,1,DET,AL,6,19,1,4,1,0,1,5,0,0,1,3,0,1,1,0,0
sabatcc01,2003,1,CLE,AL,31,6,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0
sanchfe01,2003,1,CHN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stranpa02,2003,1,NYN,NL,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teixema01,2003,1,TEX,AL,146,529,66,137,29,5,26,84,1,2,44,120,5,14,0,2,14
terrelu01,2003,1,ARI,NL,5,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
tsaoch01,2003,1,COL,NL,9,13,2,2,1,0,0,0,0,0,0,1,0,0,2,0,0
victosh01,2003,1,SDN,NL,36,73,8,11,2,0,0,4,7,2,7,17,0,1,1,1,5
villaos01,2003,1,ARI,NL,86,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
waechdo01,2003,1,TBA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wagnery01,2003,1,CIN,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weeksri01,2003,1,MIL,NL,7,12,1,2,1,0,0,0,0,0,1,6,0,1,0,0,0
willido03,2003,1,FLO,NL,27,58,2,14,2,0,1,4,0,0,3,8,0,0,2,0,0
willije02,2003,1,SFN,NL,21,37,1,4,1,0,0,1,0,0,0,19,0,0,6,0,0
woodmi01,2003,1,OAK,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zambrca01,2003,1,CHN,NL,32,75,9,18,5,0,2,6,0,0,1,26,0,0,4,0,2
aardsda01,2004,1,SFN,NL,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamsru01,2004,1,TOR,AL,22,72,10,22,2,1,4,10,1,0,5,5,0,1,0,0,3
alvarab01,2004,1,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baekch01,2004,1,SEA,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baldero01,2004,1,TBA,AL,136,518,79,145,27,3,16,74,17,4,30,88,2,8,3,6,12
bautide01,2004,1,BAL,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bautide01,2004,2,KCA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bautijo02,2004,1,BAL,AL,16,11,3,3,0,0,0,0,0,0,1,3,0,0,0,0,0
bautijo02,2004,2,TBA,AL,12,12,1,2,0,0,0,1,0,1,3,7,0,0,0,0,0
bautijo02,2004,3,KCA,AL,13,25,1,5,1,0,0,1,0,0,1,12,0,0,0,0,0
bautijo02,2004,4,PIT,NL,23,40,1,8,2,0,0,0,0,0,2,18,0,0,1,0,1
beckejo02,2004,1,FLO,NL,26,44,2,7,1,0,0,2,0,0,2,18,0,0,9,0,0
benneje01,2004,1,MIL,NL,60,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
bentzch01,2004,1,MON,NL,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
betemwi01,2004,1,ATL,NL,22,47,2,8,0,0,0,3,0,1,4,16,0,0,0,1,0
blacktr01,2004,1,SEA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blaloha01,2004,1,TEX,AL,159,624,107,172,38,3,32,110,2,2,75,149,7,6,0,8,13
blancan01,2004,1,KCA,AL,19,60,9,19,2,2,0,5,1,2,5,6,0,1,1,0,0
blantjo01,2004,1,OAK,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bondeje01,2004,1,DET,AL,33,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
bongju01,2004,1,CIN,NL,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
