playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
reyesan01,2006,WS,SLN,NL,1,0,1,1,0,0,0,24,4,2,1,1,4,0.14,2.25,0,0,0,0,29,0,2,0,0,0
thompbr01,2006,WS,SLN,NL,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
wainwad01,2006,WS,SLN,NL,1,0,3,0,0,0,1,9,2,0,0,1,5,0.18,0,0,1,0,0,12,3,0,0,0,0
beckejo02,2007,ALCS,BOS,AL,2,0,2,2,0,0,0,42,9,3,1,1,18,0.18,1.93,0,1,1,0,52,0,3,0,0,2
delcama01,2007,ALCS,BOS,AL,0,0,3,0,0,0,0,5,4,3,1,2,3,0.44,16.2,0,0,0,0,11,1,3,0,0,0
lestejo01,2007,ALCS,BOS,AL,0,0,2,0,0,0,0,11,3,2,1,1,5,0.21,4.91,0,0,0,0,15,2,2,0,0,0
matsuda01,2007,ALCS,BOS,AL,1,1,2,2,0,0,0,29,12,6,1,2,9,0.3,5.59,0,2,0,0,42,0,6,0,1,0
papeljo01,2007,ALCS,BOS,AL,0,0,3,0,0,0,1,15,3,0,0,2,3,0.16,0,1,0,0,0,20,2,0,0,0,0
carmofa01,2007,ALCS,CLE,AL,0,1,2,2,0,0,0,18,10,11,1,9,7,0.38,16.5,0,0,0,0,35,0,11,0,0,2
laffeaa01,2007,ALCS,CLE,AL,0,0,1,0,0,0,0,14,1,0,0,1,3,0.06,0,0,0,0,0,16,0,0,0,0,0
lewisje01,2007,ALCS,CLE,AL,0,0,5,0,0,0,0,17,6,4,2,0,3,0.28,6.35,0,0,0,0,21,1,4,0,0,2
mastnto01,2007,ALCS,CLE,AL,1,0,3,0,0,0,0,14,2,0,0,2,3,0.14,0,0,0,0,0,18,1,0,0,2,0
perezra01,2007,ALCS,CLE,AL,0,0,3,0,0,0,0,3,7,5,2,2,0,0.63,45,0,0,0,0,13,0,8,0,0,0
sabatcc01,2007,ALCS,CLE,AL,0,2,2,2,0,0,0,31,17,12,1,7,9,0.4,10.45,1,1,3,0,53,0,12,1,0,3
beckejo02,2007,ALDS1,BOS,AL,1,0,1,1,1,1,0,27,4,0,0,0,8,0.12,0,0,1,0,0,31,0,0,0,0,0
delcama01,2007,ALDS1,BOS,AL,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0
matsuda01,2007,ALDS1,BOS,AL,0,0,1,1,0,0,0,14,7,3,0,3,3,0.33,5.79,0,1,0,0,24,0,3,0,0,0
papeljo01,2007,ALDS1,BOS,AL,1,0,1,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,7,1,0,0,0,0
moseldu01,2007,ALDS1,LAA,AL,0,0,1,0,0,0,0,3,1,0,0,0,1,0.33,0,0,0,0,0,3,1,0,0,0,1
rodrifr03,2007,ALDS1,LAA,AL,0,0,1,0,0,0,0,1,1,2,1,1,1,0.5,54,1,0,0,0,3,1,2,0,0,0
santaer01,2007,ALDS1,LAA,AL,0,0,1,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,0
weaveje02,2007,ALDS1,LAA,AL,0,1,1,1,0,0,0,15,4,2,2,3,5,0.22,3.6,0,0,0,0,21,0,2,0,0,1
carmofa01,2007,ALDS2,CLE,AL,0,0,1,1,0,0,0,27,3,1,1,2,5,0.1,1,0,0,0,0,31,0,1,0,0,2
lewisje01,2007,ALDS2,CLE,AL,0,0,2,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0
perezra01,2007,ALDS2,CLE,AL,1,0,3,0,0,0,0,18,3,1,1,1,6,0.15,1.5,0,0,0,0,21,1,1,0,0,1
sabatcc01,2007,ALDS2,CLE,AL,1,0,1,1,0,0,0,15,4,3,2,6,5,0.22,5.4,1,0,0,0,24,0,3,0,0,0
chambjo03,2007,ALDS2,NYA,AL,0,0,2,0,0,0,0,11,3,2,0,3,4,0.25,4.91,0,2,1,0,17,0,2,1,0,1
hugheph01,2007,ALDS2,NYA,AL,1,0,2,0,0,0,0,17,3,1,1,0,6,0.14,1.59,0,1,0,0,21,1,1,0,0,0
