playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
peavyja01,2003,1,SDN,NL,P,32,,585,17,20,3,3,,,,,
penawi01,2003,1,CIN,NL,3B,1,,15,0,1,0,0,,,,,
penawi01,2003,1,CIN,NL,CF,26,,,,,,,,,,,
penawi01,2003,1,CIN,NL,LF,8,,,,,,,,,,,
penawi01,2003,1,CIN,NL,OF,47,,1038,85,1,2,1,,,,,
penawi01,2003,1,CIN,NL,RF,14,,,,,,,,,,,
peraljh01,2003,1,CLE,AL,3B,6,,96,2,6,0,1,,,,,
peraljh01,2003,1,CLE,AL,SS,72,,1872,104,222,8,43,,,,,
perezan01,2003,1,TBA,AL,2B,31,,738,35,65,1,11,,,,,
perezan01,2003,1,TBA,AL,3B,6,,93,1,7,1,0,,,,,
perezan01,2003,1,TBA,AL,SS,6,,123,13,13,0,2,,,,,
perezol01,2003,1,SDN,NL,P,19,,312,0,11,0,0,,,,,
perezol01,2003,2,PIT,NL,P,5,,69,1,4,1,0,,,,,
phillbr01,2003,1,CLE,AL,2B,109,,2775,236,325,11,76,,,,,
priorma01,2003,1,CHN,NL,P,30,,633,8,12,3,0,,,,,
pujolal01,2003,1,SLN,NL,1B,62,,1110,340,33,1,34,,,,,
pujolal01,2003,1,SLN,NL,LF,113,,,,,,,,,,,
pujolal01,2003,1,SLN,NL,OF,113,,2712,198,7,3,0,,,,,
reyesjo01,2003,1,NYN,NL,SS,69,,1788,107,215,9,42,,,,,
rodrifr03,2003,1,ANA,AL,P,59,,258,6,9,0,2,,,,,
roneyma01,2003,1,DET,AL,P,45,,303,7,11,2,0,,,,,
rossco01,2003,1,DET,AL,OF,6,,147,15,0,2,0,,,,,
rossco01,2003,1,DET,AL,RF,6,,,,,,,,,,,
sabatcc01,2003,1,CLE,AL,P,30,,594,7,19,2,2,,,,,
sanchfe01,2003,1,CHN,NL,P,3,,6,0,0,0,0,,,,,
stranpa02,2003,1,NYN,NL,P,6,,27,0,2,0,0,,,,,
