playerID,schoolID,yearID
carrobr01,mtennst,2003
carrobr01,mtennst,2004
cartech01,stanford,2002
cartech01,stanford,2003
cartech01,stanford,2004
cashnan01,txchrist,2008
casseja01,loyolamary,1999
casseja01,capierc,2000
casteal01,belmontab,2007
casteal01,belmontab,2008
castoko01,portland,2001
castoko01,portland,2002
castoko01,portland,2003
castrja01,stanford,2006
castrja01,stanford,2007
castrja01,stanford,2008
catetr01,idbyuid,2002
cecilbr01,maryland,2005
cecilbr01,maryland,2006
cecilbr01,maryland,2007
chambjo03,nebkearney,2004
chambjo03,nebraska,2005
chambjo03,nebraska,2006
chapmke02,florida,2007
chapmke02,florida,2009
chapmke02,florida,2010
chaveje01,carivcc,2002
chaveje01,carivcc,2003
chicoma01,usc,2002
chiselo01,scarolina,2007
choicmi01,utarl,2008
choicmi01,utarl,2009
choicmi01,utarl,2010
chrisju01,auburn,2001
chrisju01,semost,2003
chrisni01,vandy,2006
chrisni01,vandy,2007
chrisni01,vandy,2008
chrisni01,vandy,2009
cingrto01,rice,2010
cingrto01,rice,2011
cishest01,carsnewm,2005
cishest01,carsnewm,2006
cishest01,carsnewm,2007
claggan01,ucriver,2003
claggan01,ucriver,2004
claggan01,ucriver,2005
claibpr01,tulane,2007
claibpr01,tulane,2008
claibpr01,tulane,2009
claibpr01,tulane,2010
clarkco01,arkansas,2002
clarkco01,wichitast,2003
clarkda06,sfcc,2000
clarkda06,sfcc,2001
clemeje01,usc,2003
clemeje01,usc,2004
clemeje01,usc,2005
clevest01,sela,2005
coghlch01,olemiss,2004
coghlch01,olemiss,2005
coghlch01,olemiss,2006
cokeph01,casjdjc,2002
cokeph01,casjdjc,2003
colege01,ucla,2009
colege01,ucla,2010
colege01,ucla,2011
colemca01,flgulfc,2006
colemca01,flgulfc,2007
colemca01,flgulfc,2008
colemlo01,lsu,2006
colemlo01,lsu,2007
colemlo01,lsu,2008
colemlo01,lsu,2009
collmjo01,cmichigan,2005
collmjo01,cmichigan,2006
collmjo01,cmichigan,2007
colvity01,clemson,2004
colvity01,clemson,2005
colvity01,clemson,2006
conrabr01,arizonast,1999
conrabr01,arizonast,2000
conrabr01,arizonast,2001
cookry01,usc,2006
cookry01,usc,2007
cookry01,usc,2008
coopeda01,calstfull,2006
coopeda01,california,2007
coopeda01,california,2008
corcoro01,mcmgccc,1999
corcoro01,mcmgccc,2000
corcoro01,lsu,2001
cordech01,calstfull,2001
cordech01,calstfull,2002
cordech01,calstfull,2003
cormila01,alabama,1999
cormila01,alabama,2000
cormila01,alabama,2001
cormila01,alabama,2002
correke01,calpoly,2000
correke01,calpoly,2001
correke01,calpoly,2002
cortefe01,grossmont,2000
cortefe01,grossmont,2001
costami01,coastcar,2003
costami01,coastcar,2004
costami01,coastcar,2005
costash01,calstfull,2001
costash01,calstfull,2002
costash01,calstfull,2003
cottsne01,illinoisst,1999
cottsne01,illinoisst,2000
cottsne01,illinoisst,2001
cousisc01,sanfran,2004
cousisc01,sanfran,2005
cousisc01,sanfran,2006
coutljo01,flindia,2000
coutljo01,flindia,2001
coutljo01,scarolina,2002
coutljo01,scarolina,2003
cowgico01,kentucky,2005
cowgico01,kentucky,2006
cowgico01,kentucky,2008
cozarza01,olemiss,2005
cozarza01,olemiss,2006
cozarza01,olemiss,2007
crabbca01,flmanat,2001
crabbca01,flmanat,2002
craigal01,california,2003
craigal01,california,2004
craigal01,california,2005
craigal01,california,2006
crainje01,txsjjcn,2000
crainje01,txsjjcn,2001
crainje01,houston,2002
crawfbr01,ucla,2006
crawfbr01,ucla,2007
crawfbr01,ucla,2008
crawfev01,auburn,2006
crawfev01,auburn,2007
crawfev01,auburn,2008
crockky01,virginia,2011
crockky01,virginia,2012
crockky01,virginia,2013
crosbbo01,longbeach,1999
crosbbo01,longbeach,2000
crosbbo01,longbeach,2001
crottmi01,flatlantic,2004
crottmi01,flatlantic,2005
