playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
crainje01,2004,1,MIN,AL,3,0,22,0,0,0,0,81,17,6,2,12,14,0.179,2,1,1,1,0,109,3,6,1,0,
crucefr01,2004,1,CLE,AL,0,1,2,2,0,0,0,23,10,8,1,4,9,0.303,9.39,0,1,1,0,39,0,9,0,1,
daiglca01,2004,1,ARI,NL,2,3,10,10,0,0,0,147,63,39,9,27,17,0.32,7.16,3,1,2,1,230,0,41,3,1,
davisja02,2004,1,CLE,AL,2,7,26,19,0,0,0,343,148,70,13,51,72,0.311,5.51,1,7,4,1,540,2,81,7,2,
delarjo01,2004,1,MIL,NL,0,3,5,5,0,0,0,68,29,16,1,14,5,0.309,6.35,0,3,1,0,113,0,20,1,3,
diazfe01,2004,1,CHA,AL,2,5,18,7,0,0,0,148,62,37,13,16,33,0.307,6.75,1,0,3,0,226,3,38,2,3,
dominju01,2004,1,TEX,AL,1,2,4,4,0,0,0,69,25,10,2,5,14,0.281,3.91,0,0,2,2,98,0,11,1,1,
durbijd01,2004,1,MIN,AL,0,1,4,1,0,0,0,22,12,6,0,6,6,0.387,7.36,0,1,0,0,38,2,6,0,1,
floydga01,2004,1,PHI,NL,2,0,6,4,0,0,0,85,25,11,1,16,24,0.24,3.49,0,1,5,1,126,0,11,1,0,
foppeje01,2004,1,SFN,NL,0,0,1,0,0,0,0,3,1,0,0,0,2,0.25,0,0,0,0,0,4,0,0,0,0,
francje01,2004,1,COL,NL,3,2,7,7,0,0,0,110,42,21,8,13,32,0.286,5.15,1,2,1,0,164,0,22,2,1,
garcija01,2004,1,OAK,AL,0,0,4,0,0,0,0,17,5,8,3,9,5,0.227,12.71,0,0,1,0,32,2,8,0,0,
gaudich01,2004,1,TBA,AL,1,2,26,4,0,0,0,128,59,23,4,16,30,0.337,4.85,4,0,4,0,201,5,27,2,4,
germafr01,2004,1,DET,AL,1,0,16,0,0,0,0,44,17,12,4,11,8,0.279,7.36,1,2,0,0,73,5,15,1,0,
germaju01,2004,1,SDN,NL,1,2,7,5,0,0,0,64,31,21,2,14,16,0.341,8.86,0,0,0,0,109,0,24,3,1,
gobblji01,2004,1,KCA,AL,9,8,25,24,1,0,0,444,157,88,24,43,49,0.27,5.35,0,4,3,0,638,0,94,4,7,
gonzaed01,2004,1,ARI,NL,0,9,10,10,0,0,0,139,72,48,15,18,31,0.362,9.32,4,3,5,1,228,0,49,5,1,
goslimi01,2004,1,ARI,NL,1,1,6,4,0,0,0,76,26,13,5,13,14,0.274,4.62,1,2,2,0,112,0,13,2,0,
greinza01,2004,1,KCA,AL,8,11,24,24,0,0,0,435,143,64,26,26,100,0.255,3.97,3,1,8,1,599,0,64,3,2,
halsebr01,2004,1,NYA,AL,1,3,8,7,0,0,0,96,41,23,4,14,25,0.306,6.47,0,0,2,0,153,0,26,1,2,
harderi01,2004,1,OAK,AL,11,7,31,31,0,0,0,569,171,84,16,81,167,0.242,3.99,6,4,3,1,803,0,90,5,6,
harenda01,2004,1,SLN,NL,3,3,14,5,0,0,0,138,45,23,4,17,32,0.265,4.5,2,1,2,0,195,2,23,4,2,
hendrbe01,2004,1,MIL,NL,1,8,10,9,0,0,0,139,58,32,6,20,29,0.31,6.22,1,1,4,0,215,1,33,2,2,
hennebr01,2004,1,SFN,NL,2,2,7,7,0,0,0,103,42,19,2,15,25,0.294,4.98,1,1,0,0,163,0,24,4,1,
hernaca03,2004,1,HOU,NL,1,3,9,9,0,0,0,126,50,30,11,23,26,0.303,6.43,0,1,5,0,200,0,31,4,3,
hillsh01,2004,1,MON,NL,1,2,3,3,0,0,0,27,17,16,1,7,10,0.415,16,0,0,1,0,51,0,16,0,2,
jacksed01,2004,1,LAN,NL,2,1,8,5,0,0,0,74,31,20,7,11,16,0.307,7.3,1,0,0,0,113,1,20,1,0,
kazmisc01,2004,1,TBA,AL,2,3,8,7,0,0,0,100,33,21,4,21,41,0.256,5.67,0,3,2,0,152,0,22,0,0,
kensilo01,2004,1,FLO,NL,0,3,5,3,0,0,0,41,19,15,5,9,7,0.345,9.88,0,2,1,0,66,2,15,0,1,
leagubr01,2004,1,TOR,AL,1,0,3,0,0,0,0,14,3,0,0,1,2,0.176,0,0,0,0,0,18,0,0,0,0,
ledezwi01,2004,1,DET,AL,4,3,15,8,0,0,0,160,55,26,3,18,29,0.272,4.39,0,3,2,1,225,1,28,0,3,
liriape01,2004,1,MIL,NL,0,0,11,0,0,0,0,47,15,7,3,3,10,0.238,4.02,0,1,1,0,67,1,10,0,0,
loeka01,2004,1,TEX,AL,0,0,2,1,0,0,0,20,6,4,0,6,3,0.273,5.4,0,0,1,0,29,0,5,0,0,
lowryno01,2004,1,SFN,NL,6,0,16,14,2,1,0,276,91,39,10,28,72,0.259,3.82,1,2,0,0,383,0,41,2,1,
madsory01,2004,1,PHI,NL,9,3,52,1,0,0,1,231,68,20,6,19,55,0.238,2.34,4,7,5,0,312,14,23,1,1,
mainejo01,2004,1,BAL,AL,0,1,1,1,0,0,0,11,7,4,1,3,1,0.438,9.82,0,1,0,0,19,0,4,0,0,
majewga01,2004,1,MON,NL,0,1,16,0,0,0,1,63,28,9,2,5,12,0.326,3.86,1,0,2,0,95,7,15,1,1,
meyerda02,2004,1,ATL,NL,0,0,2,0,0,0,0,6,2,0,0,1,1,0.286,0,1,0,0,0,8,1,0,0,0,
mitrese01,2004,1,CHN,NL,2,4,12,9,0,0,0,155,71,38,6,20,37,0.327,6.62,1,5,4,1,244,2,38,3,0,
munozar01,2004,1,CHA,AL,0,1,11,1,0,0,0,43,20,16,4,12,11,0.339,10.05,1,2,1,0,75,3,16,1,2,
myersbr01,2004,1,PHI,NL,11,11,32,31,1,1,0,528,196,108,31,62,116,0.281,5.52,4,5,6,0,778,1,113,9,3,
nageocl01,2004,1,SEA,AL,1,6,12,5,0,0,0,110,48,30,3,27,24,0.324,7.36,1,3,4,0,185,4,31,4,2,
narrosa02,2004,1,TEX,AL,0,0,1,1,0,0,0,8,5,4,3,4,1,0.385,13.5,0,1,0,0,17,0,4,0,0,
peavyja01,2004,1,SDN,NL,15,6,27,27,0,0,0,499,146,42,13,53,173,0.236,2.27,4,1,11,1,694,0,49,5,6,
perezol01,2004,1,PIT,NL,12,10,30,30,2,1,0,588,145,65,22,81,239,0.207,2.98,2,2,9,1,805,0,71,9,5,
priorma01,2004,1,CHN,NL,6,4,21,21,0,0,0,356,112,53,14,48,139,0.251,4.02,2,2,3,1,510,0,53,8,4,
ramirel01,2004,1,PHI,NL,0,0,7,0,0,0,0,45,17,8,3,5,9,0.283,4.8,1,1,1,0,67,5,8,0,1,
rodried03,2004,1,BAL,AL,1,0,29,0,0,0,0,130,36,23,5,30,37,0.231,4.78,5,2,5,1,193,10,23,1,1,
rodrifr03,2004,1,ANA,AL,4,1,69,0,0,0,12,252,51,17,2,33,123,0.171,1.82,1,5,1,0,335,29,21,2,1,
sabatcc01,2004,1,CLE,AL,11,10,30,30,1,1,0,564,176,86,20,72,139,0.252,4.12,3,1,7,1,787,0,90,3,6,
saenzch01,2004,1,MIL,NL,1,0,1,1,0,0,0,18,2,0,0,3,7,0.1,0,0,0,1,0,24,0,0,0,0,
snellia01,2004,1,PIT,NL,0,1,3,1,0,0,0,36,14,10,2,9,9,0.298,7.5,0,0,0,0,56,1,10,0,0,
tadanka01,2004,1,CLE,AL,1,1,14,4,0,0,0,151,55,26,6,18,39,0.272,4.65,0,2,3,0,225,1,30,2,0,
tsaoch01,2004,1,COL,NL,0,0,10,0,0,0,1,28,7,4,2,1,11,0.2,3.86,0,0,0,0,37,5,4,1,0,
valdeme01,2004,1,SFN,NL,0,0,2,0,0,0,0,5,4,5,1,3,2,0.444,27,0,0,0,0,12,0,5,0,0,
vanbejo01,2004,1,PIT,NL,1,3,6,5,0,0,0,86,33,22,3,19,18,0.3,6.91,0,1,2,0,135,0,27,2,2,
villaos01,2004,1,ARI,NL,0,2,17,0,0,0,0,54,25,14,3,7,17,0.342,7,1,5,1,0,84,4,14,3,0,
waechdo01,2004,1,TBA,AL,5,7,14,14,0,0,0,211,68,47,20,33,36,0.252,6.01,1,1,4,1,309,0,54,0,2,
wagnery01,2004,1,CIN,NL,3,2,49,0,0,0,0,155,59,27,7,27,37,0.284,4.7,2,6,2,0,242,5,31,2,3,
willido03,2004,1,FLO,NL,10,11,32,32,2,0,0,591,210,88,20,61,139,0.273,4.02,8,2,8,0,848,0,99,8,2,
willije02,2004,1,SFN,NL,10,7,22,22,0,0,0,388,123,61,14,44,80,0.254,4.24,1,2,17,1,559,0,69,4,9,
woodmi01,2004,1,KCA,AL,3,8,17,17,0,0,0,300,112,66,16,28,54,0.286,5.94,3,6,6,1,432,0,67,5,2,
zambrca01,2004,1,CHN,NL,16,8,31,31,1,1,0,629,174,64,14,81,188,0.225,2.75,4,6,20,2,887,0,73,10,3,
accarje01,2005,1,SFN,NL,1,5,28,0,0,0,0,89,26,13,2,9,16,0.232,3.94,1,1,1,0,124,7,13,1,1,
alvarab01,2005,1,BOS,AL,0,0,2,0,0,0,0,7,6,4,1,0,1,0.462,15.43,0,0,0,0,13,1,4,0,0,
bakersc02,2005,1,MIN,AL,3,3,10,9,0,0,0,161,48,20,5,14,32,0.241,3.35,0,0,0,0,217,0,21,2,2,
bautide01,2005,1,KCA,AL,2,2,7,7,0,0,0,107,36,23,2,17,23,0.259,5.8,0,3,2,0,160,0,23,1,1,
baylijo01,2005,1,KCA,AL,0,0,11,0,0,0,0,35,7,6,2,4,10,0.167,4.63,0,0,2,0,48,7,6,0,0,
bazaryo01,2005,1,FLO,NL,0,0,1,0,0,0,0,5,5,4,0,2,2,0.5,21.6,0,1,0,0,12,0,5,0,0,
beckejo02,2005,1,FLO,NL,15,8,29,29,2,1,0,536,153,67,14,58,166,0.234,3.38,2,5,7,0,728,0,75,8,2,
belisma01,2005,1,CIN,NL,4,8,60,5,0,0,1,257,101,42,11,26,59,0.294,4.41,6,3,6,0,382,17,49,4,2,
bentzch01,2005,1,FLO,NL,0,0,4,0,0,0,0,6,8,7,2,0,0,0.571,31.5,0,0,0,0,14,0,7,0,0,
bergmja01,2005,1,WAS,NL,2,0,15,1,0,0,0,59,14,6,1,11,21,0.2,2.75,1,0,2,0,85,4,6,1,1,
blantjo01,2005,1,OAK,AL,12,12,33,33,2,0,0,604,178,79,23,67,116,0.236,3.53,3,4,5,2,835,0,86,2,7,
bondeje01,2005,1,DET,AL,14,13,29,29,4,0,0,567,199,96,21,57,145,0.271,4.57,0,5,4,1,801,0,101,3,3,
bowyetr01,2005,1,MIN,AL,0,1,8,0,0,0,0,29,10,6,3,3,12,0.27,5.59,0,1,1,0,42,5,6,0,1,
boyerbl01,2005,1,ATL,NL,4,2,43,0,0,0,0,113,32,13,1,17,33,0.234,3.11,0,2,2,0,158,5,13,1,1,
brazede01,2005,1,TBA,AL,1,8,20,8,0,0,0,213,87,60,12,60,43,0.307,7.61,3,5,4,0,354,2,65,4,3,
