playerID,yearID,teamID,lgID,round,POS,G,GS,InnOuts,PO,A,E,DP,TP,PB,SB,CS
harenda01,2006,OAK,AL,ALDS2,P,1,1,18,0,1,0,0,0,,0,0
streehu01,2006,OAK,AL,ALDS2,P,3,0,9,0,0,0,0,0,,0,0
swishni01,2006,OAK,AL,ALDS2,1B,3,3,81,33,1,0,2,0,,,
mainejo01,2006,NYN,NL,NLCS,P,2,2,28,0,1,0,0,0,,2,0
perezol01,2006,NYN,NL,NLCS,P,2,2,35,0,0,0,0,0,,1,0
reyesjo01,2006,NYN,NL,NLCS,SS,7,7,183,14,22,0,5,0,,,
wrighda03,2006,NYN,NL,NLCS,3B,7,7,183,9,10,0,2,0,,,
duncach01,2006,SLN,NL,NLCS,LF,1,1,21,1,0,0,0,0,,,
johnsty01,2006,SLN,NL,NLCS,P,4,0,11,0,0,0,0,0,,1,0
molinya01,2006,SLN,NL,NLCS,C,7,7,180,36,3,0,0,0,0,5,0
pujolal01,2006,SLN,NL,NLCS,1B,7,7,183,65,5,0,4,0,,,
reyesan01,2006,SLN,NL,NLCS,P,1,1,12,0,0,0,0,0,,0,0
thompbr01,2006,SLN,NL,NLCS,P,2,0,2,0,0,0,0,0,,0,0
wainwad01,2006,SLN,NL,NLCS,P,3,0,9,0,0,0,0,0,,0,0
betemwi01,2006,LAN,NL,NLDS1,3B,3,2,60,3,1,1,0,0,,,
billich01,2006,LAN,NL,NLDS1,P,2,0,6,0,0,0,0,0,,0,0
broxtjo01,2006,LAN,NL,NLDS1,P,2,0,6,0,0,0,0,0,,1,0
ethiean01,2006,LAN,NL,NLDS1,LF,1,0,3,0,0,0,0,0,,,
kuoho01,2006,LAN,NL,NLDS1,P,1,1,13,0,0,0,0,0,,0,0
loneyja01,2006,LAN,NL,NLDS1,1B,1,1,27,10,0,1,2,0,,,
martiru01,2006,LAN,NL,NLDS1,C,3,3,75,24,2,0,0,0,0,2,1
mainejo01,2006,NYN,NL,NLDS1,P,1,1,13,0,1,0,0,0,,0,0
reyesjo01,2006,NYN,NL,NLDS1,SS,3,3,81,5,8,0,1,0,,,
wrighda03,2006,NYN,NL,NLDS1,3B,3,3,81,4,3,1,1,0,,,
barfijo02,2006,SDN,NL,NLDS2,2B,4,2,52,9,5,0,1,0,,,
bowenro01,2006,SDN,NL,NLDS2,C,1,0,7,2,0,0,0,0,0,0,0
gonzaad01,2006,SDN,NL,NLDS2,1B,4,4,105,38,7,0,8,0,,,
meredcl01,2006,SDN,NL,NLDS2,P,2,0,11,0,0,0,0,0,,0,0
